tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
CHALLENGER,RoD07ufGBEi4ld_X4ysX5WUtTpwZ_TKif6jbf_jRMQ9pwhU,원딜은무기력하다,714,67,37,False,False,False,False,la-HGbP9MZvYZZfqR2qC1FHwC7ygS7QTWhaM6BedPnto4gg
CHALLENGER,ugGMNiDS6RzSZANiIdGaTm5FJ-WywFDY_0dflOOqrQLrxnw,98 Haru,562,475,441,False,False,True,False,OOyEZZz_LgROWx_6HGoxwWgWEAM36nHMSiL5zzmPZrka9wQ
CHALLENGER,MuZ_85RxOC2rAO7V8AWJvFN3XcKFWqaz1fsLwRiO9fMmtPM,Juhana,995,440,399,True,False,False,False,3D4H9K4vktpvE_38CsL7pRLe59XCthMcBv-ragcIcmO0gPbelnzq01Yf
CHALLENGER,0kE1fUjQDtW7BRkV1GV93BAj-QFbMC4phdHbMYvpLZyUqRc,KT Rebel,1102,313,268,True,False,False,False,BCpq4MrCm969TOBswPlJyyAE3ymmFAQUtrcEnaG7JZ71wnA
CHALLENGER,oi5Ri08utKMXdnXtmTEeVU9ejUtLLtdUCs-_3ARNg9nvOMs,못할 때도 있지,737,317,281,True,False,False,False,KdMGpJLpcn18_RVIYxU8ZQRVBOz4jVbhFTfnXEEfidGWuZQ2dzfJ0hId
CHALLENGER,DRRHd-yN91vFhRZihIVflKj90bUXONPIupUILm7hKvbB2s8,방종하다,623,179,151,False,False,False,True,IvZ8rCTTz6-0oIcAnlLD5C11civCQxFZwNwDfoyE_nMu8g5juIaVm5w4
CHALLENGER,Wl13zIm9oD-R57Ma2ZH5kBEtOR6QlwTyHxGjZOf-y1hC99_FRq_fTmFGrQ,날 누가 막을건데,680,246,182,True,False,False,False,WhNnBTu4XEu4dEdW74llv97KPzxVx9Wv4viofZh2_7UVyseuTXU-4kIr
CHALLENGER,oM-5rRMUWUia65HSp31aL68nnPemHArZIbcOmBek3slEopF8ZHAtiX6Pag,mymx11,1118,114,76,False,False,False,False,QK6vAq4hy-d4C7v4qqMpQzRijXKe2AF8agdWhfHiW4moP2SL0mDLB331
CHALLENGER,HO16Zm5Pv45RI1EPMJqVVTx2V46JYx8gR0JPIzXO3BwlDtY,ACxiaohao,915,202,156,True,False,False,True,BK1LvAOF2i-TfpIU9gypKn3qhcdnKNpkpCCRAFyMp26Gz5GAhZVveVWP
CHALLENGER,hVHpgxb2z0vFvAJUOwyIBwOnb-qRh7wBB15sbbSFlBQAOUk,BRO Hoya,1406,245,184,True,False,False,True,WAPJ1cc-020Ixc74qzx2s-x6CEFdIU6hIyBIrSdkTs-ovXM
