tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,uRDrSSNYR-WY-E2OuCsJ8T5zH_vM3aL7bNHrZsKsG2VNg0L4fv3Ql4_Qnw,rasup,335,276,248,False,False,True,j4cj2iP9a_AqjqvOTX8vRb1mRy5uoEaOEtISJOk0wtigTlFe56vzd2Ua
GRANDMASTER,PPHUDRgxNOeKGDKP6XWhpIvRyTVRTFqxi8KXb__AZkg8DAk,RiHoo,404,246,226,False,False,True,UMP1gJqy9IBpL8jrMOB1IFzXQzMWutXAAM696V3K-zla
GRANDMASTER,AWwkfQEQj7FLdR9FE9YoZRBCoG45qbdTRJi1s-7qC0pcHo_uPKOJCua5jg,ROADMASTERKlNG,181,94,60,False,False,True,3rmuIvn1s6yEszw9lrHNi-lvfopbTMPdHUCSvg8zOLP-o4Rk1cmUaleJ
GRANDMASTER,G0cWMscWKocwpeLYKgA6i-r-DT1dfXyHQJgZDXW6NXeWVfXCojzAuL1SJw,Moriii,338,140,107,False,False,True,Y18XVN11Z-rxbketiKpi1Zz9zplT1cer2eKHsXc_HSB5dLMob2qqHyrB
GRANDMASTER,USa6Bq3-Pzk8SzqeFAqwgj6iDqVxuIM_dJjIsUz1pzdcNeU,데아시두스이어링,344,73,41,False,False,True,2kAbi2bNa6kcaMpsu9zLDtZKyuenJiHjdGCkt0WNlc-g25PP1vYJF8po
GRANDMASTER,Kh4AABSfQS4ojlW0NNMcsrq8cTTukIwrbH35NTpUhdPEh4I,뚜오뚜오뚜오뚜오,246,163,138,False,False,True,u34xtmJgtCeMPkEH6PLiiW23m2YeRPunJ1zWe8cEbu31IJa1z-8KW2Gd
GRANDMASTER,EbbHm-w9XjylLaQgycooZeoJ-JEEobbYPgjAnjHFEvutsns,공주 킬줘 어시줘,223,150,139,False,False,False,GVlig5OQCROF0neOWH8MkGBI2foFx4vbplZdXGstl_DdgE0
GRANDMASTER,LH7Clng_k61-k9QgC-NL8B23SBCWAWTLdvn2QR8GrGptcPM,Gen G Envy,458,159,136,False,False,False,EVZj4HzyiKCRBmnJaJxjQ2eC2qUmWF3WvQWaXbG5TuDScpstSTOoB_MW
GRANDMASTER,73_xegvH7hrjD7k-qiwIiP7Mbh3o2Q7lWsfb0ayqT_wusfY,HnJaH ,404,244,213,False,False,True,ulNu-QYXc4jbdqrr2F25TTDjml_fOK3r6tFQOjC9C8hSQE0LcM0FtT9H
GRANDMASTER,m04JEeHKLSP-TBsKSZN1bFt7Y5FMJgpssv3hXctJ6JNgsRk,꽃피는 용기,230,318,308,False,False,False,FdzlfxlN-WeE5DhKvI6CTRf0eFd1pDXsQB-URuL26b668fA
GRANDMASTER,wVPXtMgY605svyDVahi4F0cXVzO2-lldkESMQCKnRZwBBQ,일 편,476,99,76,False,False,False,AV86g8V-RXjjWMj2RxIUds_2-DTaE4QJ6-8hXdiA_RRr
