tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,ZRC5aFDisjqT8HDPcBheDks_w62amGN51kLWvieV5SAtzZ4,asdfklfdkjfsdl12,53,201,190,False,False,False,False
MASTER,QZXTsWGn-IutnTNqWbF44H_D_dOlkTcHjwTvRae1BZ1nWkAc,무오래걸리지않게,98,141,101,False,False,True,False
MASTER,b0crCZYR-kQeERCsBHuH3QsY0-NTr9TiRKc2O3zRn41TPX9-,KswyG,59,51,41,False,False,False,False
MASTER,DOF7eFvLJ4UMFxamMX-Gd2cVNAoRgAzWgZHxg15iRsLoQA,Firework37,18,165,156,False,False,True,False
MASTER,QKJ27X5ahCBJilcc-wXPHhbQADFtE6N4qOGUTjNjqcfJR2A,GGirit,42,77,61,True,False,False,False
MASTER,L1QN0DL_omkidPAbYhDOd9qFxWmxG49fgZuPC9EP3Vj3BqU,top2021,17,59,42,False,False,False,False
MASTER,Isi2J8Z5NgXviz20BuK5xsipIkF0_LM5ugORXiP4kX94WUU,이불만 덮고 잘게,13,36,27,False,False,False,False
MASTER,7vQk5ts35lsJLNF-csThsLv56kU65ftkCrEe_GzXAAVGWI1gf53AJp9YaQ,뒹굴뒹굴뒹굴뒹굴뒹굴뒹굴뒹굴뒹,0,104,79,False,False,True,False
MASTER,m3LQ8GV2Vb9HT05TKk7KIavz-si8qhyintCHR9gYBr-xnc0,Sarah Babe,129,285,249,False,False,False,False
MASTER,qYeoOsoFdy9Y93b8m6dzAsR65TsZC4aXDzYl_L589x-nZ52i,피할 수 없는,127,156,155,False,False,True,False
MASTER,oziyn5gXrKvlTfyN-I1UA64CTOKTez2x8crrcN1kCcfvcrY,쓸큰꼬,119,156,133,False,False,False,False
MASTER,05dkipn5c2zGYxM0fBZHYU6nde3JA3EYFr9gOJQEGoea8pM,기복이심한사람,0,72,66,False,False,False,False
MASTER,qNNEsrFAudZkV6dbfbePGbE1b34bE-uVuHy8Px2g0steapA,다딱이 담당일진,8,368,359,False,False,True,False
MASTER,fVpBx36Iny4YADoHiRd817qgt2kHIQKBCAtG_Mq7D_m2GQ,Emil Lia,0,83,67,False,False,False,False
MASTER,3Er-Mj1r73HRtQfHvzodkX83Pyl3huuMViVPpjCDzZKH7JlbpGh3rQsMbA,fenglingyuxiu,182,78,42,False,False,True,False
MASTER,_GesZuoFftm9nCjM6AhdpNi4bXjHPSJe6Gus2Iy8o0YItT8,Morr1s,103,71,52,False,False,False,True
MASTER,jXLUOJe3h7tg8Ek5CErVjXe0xm6_CsD_d3GTNlS9PrLTjEg,Doctor Shen,37,87,74,False,False,True,True
MASTER,WjtD76fHJ1DZzLj_7tSgUf6kS3jD3nZNgG51OyS58BPiut0,트위치 쌔디,25,219,201,False,False,False,False
MASTER,clDb1ZoePxZMmCEQN_dAZYs4u2TqKtcibNp1C0AiH-1szdo,shang lu KlNG,1,238,220,False,False,True,False
MASTER,1J1hJHNyQ9QFo30GIlVogoVUSRVWMEG6jm8AENvovmYcbb0,초심찾아산만리,129,163,152,False,False,False,False
MASTER,PO9TfE2F-7z_iJvKW5BQC2oVX8bX08grRXJ-p8aH3Np7D8c,lilllililill,145,180,161,False,False,True,False
MASTER,MToGtENfCKxuXgVzlrJpJlm6Cb42VV1ay-1kOC1CxclInw,색색의꽃을피우고,20,69,50,False,False,True,False
MASTER,cyPTafKCsZV2qlR1b8RAtjygGcYK8F0rY_dcSaKugWL2Zqk,SeraKan,29,197,171,False,False,True,False
MASTER,cYFVDh9F2E5AlZVz3rAm-l30dW0OfZi1m8X8EBMEpjkt3wA,우민2,223,53,37,False,False,False,True
MASTER,U2rfn-yiUK-mMa4WUAzjqQSZ7vX9PFb6500yp-n6yzrQRgw,알 콘,0,97,69,False,False,True,False
MASTER,MeOEVbeJMH33n2Rto8jxdJsCNLK0Anc3Exuw_u6WWlMz0moUkgWPL7ZxlQ,ahglasgefliatgu4,72,326,311,False,False,False,False
MASTER,1upA1yt3WSEec-jBJW3YpkavjT0Mh1MpN1VbjU6AuKS9mPY,키리기리 코쿄,19,153,143,False,False,False,False
MASTER,aexjHho5e3CGWL6zRlwDNXvfyZTonfyxZ5Bo6KpkC2k8A-I,vevsdvsdfvrecsad,72,362,337,False,False,True,True
MASTER,JjwXxxSDUaXksyURqEWdwerBHsnMqFf8-nsgYIascd6gwLc, Nidale king,45,37,22,False,False,True,False
MASTER,OtA9nBj4MvpUcV2SIhKls9Lps2Q_tuNcONePTLYkGY_27X6KGVZuwmcPqA,midmidmidmidmidd,64,158,119,False,False,True,False
MASTER,CByN5CKYffRTFH0maGOca89Bwu14sdZLT8OoVaH7amgxNU8,망나니막고라장인,54,208,199,False,False,False,False
MASTER,lfn1Hxngj-zd0ylvgj72ySOUw8wNO7z2afsAMfy3vc3FHQ,몬 때,49,117,100,False,False,False,False
MASTER,gwGc2JsWBmSKxji69lmUPFBali47hqNYEcNUMmfLN901T2M,동냥아치,163,546,527,False,False,True,False
MASTER,jo1iScRKfI5bDh-SoFqQGx2360zPHT5xEpLeHGbcKQTubeLH,MI SLOEDAD,0,352,307,False,False,False,False
MASTER,QJYY8tZJDHk5Gw2B0Vy_yHBJViFHwxgA5-4m5gz6ncL7S3cX6jRSLA-01w,뚱 뱝,86,310,289,False,False,False,False
MASTER,SDgiQVyDPDlHIqNf7oP0Z7UC6afSvhHVjJAOr2I9mDE8eSM,구와아아아아아앙,1,231,226,False,False,True,False
MASTER,6E4TeBO9uu160wiRrjWWGMMtJA3dN_6rafvPHGVffjPmDdPKrg7OdEepKw,21 Sun,8,101,82,False,False,False,False
MASTER,j2bdIOQv1mRMavGBT2Af7KqvQZI660qSAotnIz1VvURGpew,투명 인간11,80,351,350,False,False,True,False
MASTER,5k70VFZzDldtbg2Txz-2t2i_D-F5dWQIj6wjsRTjBw2iaEaLGk_6fGXv0A,똥밭이 너무 넓다,16,122,87,False,False,False,False
MASTER,OtoXprTVC5yqAtrKzWBtZXjv63ci4HyycuY1HsK78y6OAWU,River96,1,69,53,False,False,True,False
MASTER,ov_WVdsBK7JrO89fmFoCHT65S5E4L7yWgcE8KJIi09UbGuWRdc5qvMrypQ,zxdwqdsiod,0,160,147,False,False,False,False
MASTER,86z7tBz5R6TgRV5uXJ0NUQxch9J84jre113631lb24DN2Q,원딜하러왔습니다,9,150,142,False,False,True,False
MASTER,cZAaO0TgW7XZArt0VmUueXD_HKu6a7gQaonfV_8qdbiet2g,Resive,1,171,125,False,False,True,False
MASTER,QFLcKLeGoVsvuQxO4uCkghh6s-A0t5pfv8VzTIxeqcFuPFY,도구야 힘내자,207,117,82,False,False,False,True
MASTER,avb93Z5jhsDz0_m8Ggx2IRjweZngjf8a23EB5m7iPd9GYZA_qt3OGpPCtQ,ejkl,46,181,163,False,False,True,True
MASTER,9BoWnW4uoZ0jCNOl0hoBUnDnxYA_Hd6YYq2-9sb4VDyefmA,다리쓰레기챔피언,31,320,305,False,False,True,False
MASTER,ElL8OYd8Wz-rGySL_OG0hKgDzVHN1UDGOy01AdqQCEDptRc,Aimingg,278,114,93,False,False,True,False
MASTER,48B5vH4blVKftrropq-e-gwOEeyZ856Lt2s4DKbbdd8f40U,Lv 1 Adc,108,93,78,False,False,False,False
MASTER,Bc8Rr5BgvAqQ7ipbMsRC-_sKbGTQQw0xhVI92Z86-wtEeTwgM9ogAjL1aw,수달이니곰돌이니,51,128,100,False,False,False,False
MASTER,IETvlgISzwnOC6819pkqeKciGjotfW9eMpKmmfIkUX2I3ik,제주사랑상품권,1,72,66,False,False,True,True
MASTER,Q1oIBI-BfXiOOlhDzn6h2n3g5LLDVPBybW3wz3H8BTCQLw,35 years old,30,316,302,False,False,True,True
MASTER,_9xkdJC0_Or_njZmRQw-J48Dj5OEq8SFfdM9sVh9r12vt4wU,wo zhen de ai ni,16,145,119,False,False,False,False
MASTER,q2yDzLLaNvI95hl1ya-QyrC38xmjzesZRLTcZnWUYCn4C_g,ble mo wo,54,78,59,False,False,False,False
MASTER,V_aNm9ELYheKg0kgdGLr9h1Z4WHHUmQ1_FLHivvtbaAWJA,조광희,24,115,101,False,False,False,False
MASTER,uL-Cw1BPKa-PuxuQyYNWOX1UDYS_nt9ZsvsEc--9JOoIgiCuJvXNhI5T1A,dfgfdnbfx,22,97,75,False,False,False,False
MASTER,Ft-e899KgDiv9_O3Wm7ohBEZRu5ikY-Ii4s4NWiR8llU7gFJ0vVllU0m1w,wang xiao hao,116,70,36,False,False,False,False
MASTER,E_Da2RvQ2BR4L1RU_EnyCyO-3dxbjI8g2r7MwZfAIdHqfzs,S2enorita,194,73,47,False,False,True,False
MASTER,QpCAuOaZ2rHoq6sNPlU5lGaMDBmbmuP7kK6O9MSvMnNTkA,물다이아,34,65,54,False,False,False,False
MASTER,i9BF26KZhA04EyG7CpkSIDffq5AHApzLGtjg6rVxs37Kx48,Sen Iin,100,149,125,False,False,True,False
MASTER,mdWTU508gxCPClWf1OHMj5WjDuJiQ9f_xr3Wa4tk_tDadUYXry7aJAKTyg,SUN YANGHUIXIN,115,200,157,False,False,True,False
MASTER,9ynzCxreBq5b-gbXHZ8Rr3a3mmFz9YrKOxiZOMH0M3C55II,아쿠아쿠아,83,305,280,False,False,True,True
MASTER,_DtL_3od7HzGM7opo-vXJhhQtOP9ZFSHs5JAyAL9aKYvGmc,geton,70,98,90,False,False,True,False
MASTER,P-3guV6dYlO97SqkOWdeLcttEBlO41aFTmU5NeXxdxFjtPob,Mu Tetsu ho,0,133,98,False,False,False,False
MASTER,9hEB3emZj4vlqgCYvUYakl2T6N-ktyxP7U_Rxk32wRE6Xw,shenzhen,0,83,62,False,False,False,False
MASTER,JgPhDcHP8xQj8DJKWcb4Gtozkk9_7mL-gMDkOoG8-T649_xM,iGzhao,1,74,55,False,False,False,False
MASTER,hZEZ2d-jQEEJ9r80nH8q5MYA6gt0HLmsYKQQp9bnRzEM5bU,쪼꼬형,78,187,164,False,False,False,False
MASTER,BfUxuDbl4KDrF8apjKYnql_qryv6mQbCbeySIWKcadwyjsAITmWfsP4v-w,010713,194,244,193,False,False,True,False
MASTER,EjHR99SJc_xhl298118MxsMpEpccLAvhYEM6XPZ0lEdX5iI,pae셔틀,14,85,61,False,False,False,True
MASTER,RHGH_OfdTFc5sjhE-raiGBuqDyBqkZR2zjb5S37mCKl1lQA,여신슬비,70,127,77,False,False,False,True
MASTER,R3Vrn_SfUQgZV3g351SoF5L8CiGXjGR6_WKxJ3TKqPmK5k-uMljgVmc2ug,한없이 짖어,58,68,51,False,False,True,False
MASTER,HSAxZG9iGd--hObZV0PC0G9NUZW1CujgvavxrV9Q4fCZzRs,Bbvoy,184,30,18,False,False,False,False
MASTER,8MQP2H88oBKLUTHU7NRrBz40ulHBWvC2DsyLQfZNg3hlKvo,Care for you,1,73,36,False,False,True,True
MASTER,XDRnY1WJNXzP9Sq8gQ3Qbx6awiO_hW45o8aAahdDSUl5sQ,딸기쪼꼬송이,18,111,93,False,False,True,False
MASTER,45RgJKOzjmxwqAaJMCEaJAAwFSIkXSQDV3ivTnc4zKhgsw,제로거,49,121,107,False,False,True,False
MASTER,POlh00aHM9E054wG65pAaHKcQQVTcwcGm2c_elMp67HkWUk,양보 배려 매너,0,161,107,False,False,True,False
MASTER,0o-zik0MLLycI55xYl8bMswLcq1aqTuap5N6vY2UJKK24Ag,knlfe champion,104,187,115,False,False,True,False
MASTER,yaR0rJtbvsal3ao1l1p-5MWRfgM_QSt3Jg5YVSatSFu-4Wk,루나어린이,18,134,128,False,False,True,False
MASTER,tnnILcTdhmYXkXBuI6d0l1AHtrPGpHXtm2Ihi3W54-lRpMI,나락 캐리,150,110,87,False,False,False,False
