tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,account_id
CHALLENGER,kjTkR5UqDAW8IOt5nrj43KGKdwtsVXPM6Cy1lvhb6r1fJms,제주대옥효,746,157,108,FALSE,FALSE,FALSE,FALSE,5ZcjWM6WssvsPD3oLUZTS0v4wlhLXmHJP62VlT0ch7k-7108fvu60H8-
CHALLENGER,RoD07ufGBEi4ld_X4ysX5WUtTpwZ_TKif6jbf_jRMQ9pwhU,원딜은무기력하다,731,68,37,FALSE,FALSE,FALSE,FALSE,la-HGbP9MZvYZZfqR2qC1FHwC7ygS7QTWhaM6BedPnto4gg
CHALLENGER,2yeH4V8iebl8bSFs0QjPs8_Lp3N3aMe4u3lg1Dd06_o5kTE,daikouzhao,684,252,213,TRUE,FALSE,FALSE,TRUE,_sIjEDIY41d5tCtPrk85G6d6_67QUj6ZEpp_X8jkjOpcok483UPXEXXE
CHALLENGER,s4rJBqdar1AoGo2RtSdbPiXM1XYOqxohfN1EQSEI_qlsy88,gasagao,593,369,323,FALSE,FALSE,TRUE,FALSE,zrDn6hz5jA6Xn5t2JlUNb-eYI9CTwRl0jXmHQZctXdc2AhgPWr8GSbZ9
CHALLENGER,5uiAIIgSVTX559dxmT7u66mXKzxymb4vGeWgoXoSAqTFyh4,BRO Jeong Hoon,691,168,129,FALSE,FALSE,TRUE,FALSE,whfk2REjVialf_zKWXvw8hh2Ly28qLwGzVbyFLV5Ysb02TQ
CHALLENGER,98cXd6HGkXuV9WuJBjU_88UxM4GfpksOjkSGh3k0tqaP_MQ,happy   game ,954,289,242,TRUE,FALSE,FALSE,TRUE,hQpLQnen3G4PZ1VBjZmfOHyITeS0eFjElJXWNpjDaydIuM8
CHALLENGER,IAc42Lx9Sr4-kpMOITb5-6hxMCbrFKDM_d-OGkLop8uFk9pNQ2WFiWSNyg,살모사 인 간,613,386,345,FALSE,FALSE,TRUE,FALSE,0qtzll8dzfabGvDPyZTAMido2_jjvtpzIYFwuKZdP8yqwXxfeqwlRcXG
CHALLENGER,_Tau3VLEnGRMZE4xus7FqP-H3bzcsl-iDnpG0yfmCXwi_Kc,mofu weizhen,955,393,351,TRUE,FALSE,FALSE,FALSE,a-fl7VoH8rOU4FSpnSOMaP3a4AJspG02TB8uO0S6Uo8FtpzQexmZjjEB
CHALLENGER,Tsyr9lVJJZGuEazQUDuPUJDFnBjFf7BkOmuz3tLdzWpVsQ0,굉천광뢰 허무도,611,326,301,FALSE,FALSE,TRUE,FALSE,2m5B6eeEBkvi1ETsK8gP4mXiaJgmhzRHN1_nXrrtAipMd9o
CHALLENGER,OBp4Idcc3pjy0wcunqF86Djs-oRZpNz48tL2u2JX5u_90r1bLQFyRrEs6A,두두두dadada,693,84,52,FALSE,FALSE,FALSE,FALSE,znqbaC6YzXl9PgeylIj-Z_ZQGdqG2B8E3yMmiLW15doxLAkMVKiUxp-O
CHALLENGER,DIRAcMbBks_1A4xj0ZOEX8p6t3Qy_wkYI9v-rkmy_0B3tRQ,교육잘받은도구,682,145,117,FALSE,FALSE,FALSE,FALSE,H0wkOnSjhhxqpLqp5uHF88H6ZKHz2-qpD7SWdQDgXnCeFKM
CHALLENGER,_h5hoBsuXyYx0zz00fjsaxEphsD2LmOM3YaqqwhzmwYyUYE,이 V,724,204,173,FALSE,FALSE,FALSE,FALSE,70uA1TWU71_gpg3Z1lXt8JmA8uE-Lv0rokiGmLzbqUeVDC9uqpD7uyVN
CHALLENGER,T0YNMFC7bHOACYa5tKG3zwThySOpVX10R4YHMspDroTzuaI,T1 Ellim,633,172,138,FALSE,FALSE,FALSE,FALSE,ccpn_TkYtkGZqj4w0dB4LoRhDrPPkAk-ZaiPNzmytePdKv4
CHALLENGER,ChJcjVmmX-YFD6uz0pZeJs2vylVX0oLDJXiDmPY_2N_3U4xEs2mTznE5Ew,wsbshcjybpqy,895,359,297,FALSE,FALSE,FALSE,FALSE,98zY7BtI_6JFHTus7YG5m7Zu5pzHrliGLZA5r0xQRTc-W8YR1bliziNH
CHALLENGER,B1sKo718qwfs-g1Dq7jhVUp8kH3K0fPmdmZ9E3vLYHGchuyf,bcaaaaa,677,320,292,FALSE,FALSE,TRUE,FALSE,7ePv1XJiU0BLPdVqR7bpNayKSPx7EoSkrW_58uLr5E_spynv-2ThBjq4
CHALLENGER,jeCH5eFbr2QVM43Z-Gr3Hx61EXikybEYVP1cIc8aXiwbqQZe,medieyoucarry1,594,149,123,FALSE,FALSE,TRUE,FALSE,2WSlrjdpFBmKvOiyzeE1npkFm61JnSKxycRWM2hVuWodzs1LRtLZiFkZ
CHALLENGER,MT189TfZNTKIxTcVhVjUS187w30hdjlXnPuCxsMHTMs5JvuajjNVWOjcAQ,yangzhiganlu,615,85,37,FALSE,FALSE,FALSE,FALSE,z8O0BSmy6cPlO7hYsORObeOzV8nCNuSTFbTlX8VQ6BlyAR8misGg0OX0
CHALLENGER,q6xqBqi45IUDpYm_jAU2j52jR7zX88xB-lcEncU5RDadqKs,     la ji game,790,111,81,TRUE,FALSE,FALSE,FALSE,DP_mhCPQedjwB5g-tnlPpP1gLunb74H2Vg5l_gBPlHeYRdfoJQndeDoK
CHALLENGER,GuhxyHNzG-6ZVrFgbXcQz6zMYEDfJsyFoTFAqHrp_2d20w,PhasedKiller,572,140,106,FALSE,FALSE,TRUE,TRUE,YL1Hwtg5vhGZeX8R7qwA6z_Rmdf9jm8aa_5wcg-bInw
CHALLENGER,48QYhmRTRpE-Aj56ZYkByzVDkEzkBH4ukvSzed4WpxQGhw8,바보상단,618,344,314,FALSE,FALSE,TRUE,FALSE,XwY1PQUQLIkBLpdSL_ozYVJL3oNFAJQobf7GL3XrKSie5Ds
CHALLENGER,FM_xZz0qF7A-en1pSQffEWzE7U93d6jp8L95KdGbzgzJyXdJxiRQBUxADw,asasasasasa,759,136,96,FALSE,FALSE,TRUE,FALSE,UvT5YKn1Trx5-U3g-_ptVKeNpuOE_0LCbbrHRmvUjjTVhvhs7m7cM2_4
CHALLENGER,7Q6ZEVvj86dJ_2YB25ZiQComBMlK4UYcxfQwY1CRAeKzXi4,Mitsuki,611,218,162,FALSE,FALSE,FALSE,FALSE,u4H_MgOU6BOA8iDC8Vpg-2VkLlZXI7yJDoVe3ZU2AP0Zew-yFX5l5Qo_
CHALLENGER,qMu9DAPGVF490KfQ_7h3gOsJZNt7iBqfQnZTmaa_nfOJUv4,Yorick,805,351,309,TRUE,FALSE,FALSE,FALSE,zQ1l19TNs9paMOZCR0hWC01ex6M6dYxDL4yBCA7LELE3WfI
CHALLENGER,hVHpgxb2z0vFvAJUOwyIBwOnb-qRh7wBB15sbbSFlBQAOUk,BRO Hoya,1406,245,184,TRUE,FALSE,FALSE,TRUE,WAPJ1cc-020Ixc74qzx2s-x6CEFdIU6hIyBIrSdkTs-ovXM
CHALLENGER,e8dMLhGM6_Nhyw6AsTbAO_mcSfJya2QpllTOQodB87FvIQ,조세형마타,650,78,36,FALSE,FALSE,FALSE,FALSE,9CNYW28NCRRjAuveFTN1BDjkcEi_clJhZrv4AybblT8
CHALLENGER,9HJxaLQz-ostjqY9a5P1IRn1ALXimHTtE3VFPaJfAwkrEE8,아라가키 유이,643,187,155,FALSE,FALSE,FALSE,FALSE,ZuPUkfEhpNdU8SMVU4Pu8Q_SqSDtVUvScl-pnjeHX9-yFmI
CHALLENGER,VmqzkmTpAkUrIPU5v0Tm5Qm8WvjEACz4z6Q4lKfJ8IV7y30,T1 Fisher,939,436,408,TRUE,FALSE,FALSE,FALSE,KQw5IGB5fiUWf5m_xEG8UIqU4hZtm5x6KQ-fclUaO7zqWBt-gjlFl1g5
CHALLENGER,57pAuQhCAo--KMLHiZN4LpPOjgEZVlwHnEn5iQPW3nG6j2ih,늙은 천재,692,527,484,FALSE,FALSE,FALSE,FALSE,bt2z1zI77LIA6T3WmXXackxxsVhONw-RCW07wDht-dw8UeIKEIKKa1Ze
CHALLENGER,7WHTJULlu5eOc2L12ot-HWBx2JEk0Id9ZHu3hyUI9ycZrA,elole,723,118,78,FALSE,FALSE,FALSE,FALSE,guWP-eoVZKuqk4eHQ-zSGZrQMQM8dffJTnNHYhC3EW61
CHALLENGER,EZi0rZhdD1YpxteJ31rakGuOS49NqSR_UfGmYUgxqkssaQ,언니우기,594,305,276,FALSE,FALSE,TRUE,FALSE,khXhzDZ2jkxhLsTC1-8B_nFc-pKQdq2WfK_54qkvym_L
CHALLENGER,RnUcS3p3EUFagCDAF2-hKtXkZz9GCxmWGSxQvPzM2yytY8c,See u AG,725,127,88,FALSE,FALSE,FALSE,FALSE,lwuhGua86Ga2JIxblKHR8CBg1jj4BE1GgCae5vp0f8_zjO4
CHALLENGER,_PeMWXWevfGYAt2MlVJv4hsJXEiLXzvjNWCsqLEleJlyJpxB4jBf8GXudQ,mznzhtfkbjlxkl,801,133,105,TRUE,FALSE,FALSE,FALSE,ugfB_uTQgdtHnZAGAE-6a0edShbYiuIaCR7_6tLEE-YniO_lcbkz7UFq
CHALLENGER,kJdRNrAJ_VvFvRDOm6jbR-aDE979H7GjyB_VIa0jVcchfw,Azhy,620,145,109,FALSE,FALSE,FALSE,FALSE,R4m273P1bgEF8_7Xk0ESz3IyJD489979qKpb2rhL0pvs
CHALLENGER,OIDYYG6i1oX2Q1utC6hGRYvsLOrNc-Ncc4pcaDdowqay6Sg,JassicA1,806,344,309,TRUE,FALSE,FALSE,FALSE,8uV4adPS9LiWvAU4lWPhykktiFQ7MkVcXTEv7i4vB7B7zj13kH2_TqYO
CHALLENGER,otF3DzfAbMfQTY3L4m15HkizoSI8qJGzSqlyAepFqZZDBOtaHfiddcEdzg,담원기아김동하,1579,138,80,TRUE,FALSE,FALSE,FALSE,3RYr1g9FI3f3ztCSxTR4RngExxwM_HSeGg6SfSp0KK_QK6F_YeWC0CeX
CHALLENGER,HC7oxIKWlI9BRQaQ2rikxJHXfgNicw3b94lavqSUV_4jG5w,적당히좀하세염 ,617,202,118,FALSE,FALSE,FALSE,FALSE,rPy87K0697aBOMXCTOds-M1woNJo5ejW4xfMPfKj-eLDkrk
CHALLENGER,Yn5g9oMCsCJgVBuPkOPoGOtaT3yK5Xu9q8eKhk_t7uefXGw,xiaguang,628,88,55,FALSE,FALSE,TRUE,TRUE,90lWJP-JL6znWa326_KVDS5XB7WRtAeJYjpyCF-zxXOcoumXlQi4H8M2
CHALLENGER,cOJfjqjRZl_cW2KcG21juOyTxVr8DTAPbYYW2egs2YEX9Dk,기억을 찾는 소녀,575,364,329,FALSE,FALSE,TRUE,TRUE,Ief-98-Ljj4MaJh_rlvTE32AA-W791N8w0DIUURawYe6drFOeuO1aUFw
CHALLENGER,NSVP0xiJ39fC1u3Ae2SHbJrZ-0uy5tL8EH9bTkQuQD4CXg,taihaoIe,676,363,319,FALSE,FALSE,FALSE,FALSE,olNyMMrWn2-Kyoky9HFYldgOj7AYvgbrQvyydwiMy_nk
CHALLENGER,GtVIrD-jC5-wlWL2Xk4YNIr0gZMC9UgOspX1G2dXdHibiQc,Destiny,601,278,253,TRUE,FALSE,FALSE,FALSE,pIF0tXYAcQ9qYBsvEmkZRRtty0K90EkJ-U52_lgitnD5skg
CHALLENGER,VwNBiIJ5FjdPAOTwJg2z89ZG2aP2wD5rOu7mNyEClLGntQQ,Gen G Peyz,618,537,510,TRUE,FALSE,FALSE,FALSE,bNkv_ARCVqujgXi2Kt5bghDBOKi_SVWyF-j90EXo9_MC9U6Xr9rUJ7Rc
CHALLENGER,f_UbZ0Ny-K85hd60G3pbWacTLkb-d7gDdMVLf4FZdij8TsQ,새벽밤공기밤하늘,859,204,166,TRUE,FALSE,FALSE,FALSE,CRRDE1aO1q6IhZdjGS_w5Ya0LgKxTzfluE-HwMIP7nUKO7M
CHALLENGER,XWpi643qpzsMEdJ02FQWf90TUKH9EfCEt8XJLNCemnzsDV_kje5bQhreGQ,yao yuan de ta,1039,269,204,TRUE,FALSE,FALSE,FALSE,5t5o4xFz94msN3byE5vGOrBziIjDGKJeWRqSsZhn5dfowKU-kbWa3zh8
CHALLENGER,RkI3kwnXn42Q1ZtolMp3a4YWLHMIwtpBw2XhDtz-RK8sOMHWOUIecIV_Ig,blibli huacheng,595,172,120,TRUE,FALSE,FALSE,FALSE,CuTG320hf2FhGygG8sKbIwkLa4JCj1uYUMEIMb8U-_2eQNbeGU7A2n09
CHALLENGER,4NMER_A9lLRP-ljW959hY2elWNZl4HJyCoVr3y_XavvIwjQ,연두부 fans,806,128,84,TRUE,FALSE,FALSE,FALSE,TgG2q3c2U0QqYwMbHeb0wcyceAXxLVqlbyFeSqQKNw6abH8
CHALLENGER,Usc1IxrnUGtnNWdARh7JSfGzyUed2pw18q3pNoPzeBIL4Q,No longer love,630,237,179,FALSE,FALSE,FALSE,FALSE,YpMM3Vl8B0vhW6ivZoBUCgvepeGh1GLNg68AsA_nJRL1
CHALLENGER,n_f45xxcmeE620WKEP3D-OUlIeJf4wRaJDAa2q5MnhZdpwGFs0Qd_J-ASQ,깨달음을얻은남자,619,277,226,FALSE,FALSE,FALSE,TRUE,T1Y0DEM8PZUktkV1OT7LzCxjgriC-nX00l70L8-0fp_cBKrmvYqDwecV
CHALLENGER,qhmp92e1PsbmYs59RmLYp_0SOdmL3yVa4rpn-ysTbwCIcwNYn_HVZvHwzA,어리고싶다,1247,217,164,TRUE,FALSE,FALSE,FALSE,vo4iy1jGco3nij2jynrlFjYRAQN_8u2SMszAxHBWnHKyaiLtIuydarAw
CHALLENGER,JuNnBddaArKb6zXRhSjHrWMr9QalDFKLn9gbYPDYkhlvql038b8Fh_3j1g,열등감도 병이야,997,120,80,FALSE,FALSE,FALSE,FALSE,
CHALLENGER,HjxeEOHQ7zBEgd-TRKT8jCZjsCU-_ybIOad82h9zJ3EBTTsO_9MVs65Bvg,langmanbusi,719,163,114,TRUE,FALSE,FALSE,FALSE,TQayTpTsdM828aEOlHuEEucyWpylgeHxKbvx_qm-oj59bSCFGQc91M8n
CHALLENGER,mQJpmjbYNGXIweZEST4DitNbs1cPr6Jc_lkivjAC9gQwfox-hrJXdeJwGg,살퀸레,664,249,219,FALSE,FALSE,FALSE,TRUE,2oDioVnI7T_yaC4vF5OOs92VV-gZqh2rIwzIbVmSu4RHyB8s3RRAUrWw
CHALLENGER,UTXuPHcCkChJ6ZZOIBY1rvyDZWKMzY_cltWRRBF8ZQuuhg,JustLikeThatKR,579,327,302,FALSE,FALSE,TRUE,FALSE,GKOjkwKTJaevDUU6IQ_2raOhD0WWRU0xbNGVZmowkur2
CHALLENGER,5lfwrbIXjD8-Q9lr8PfWgDyWMZJWym_nGO0dWE1_UQl8ckvDmIa1irgzSg,Diabloi,674,262,238,FALSE,FALSE,FALSE,FALSE,GPbnGp7Xwo5gKiPWvnqPLDJ_HQcVESzphFVG1NVijr6rMI0BU3r_MmhO
CHALLENGER,xTHEwLzVFEi2lJnfbE7roFl2Y-lxBrjm3Oy_ipOD7Q5-bYg,T1 Berserker,755,181,153,TRUE,FALSE,FALSE,FALSE,ob65gx3xugToWs8nrANzwltVVjyIgpowsTVLzhqJwDFRKtopjylZvfDQ
CHALLENGER,JfzruANNK-GosoZVomfokEbvoNXe5-Se9g_NI1nqXiAiMtw,Demon,581,144,122,FALSE,FALSE,TRUE,TRUE,bxV4PzxvHggEpC_PI6h9p9i437rsCeUKnQLM9vMmstO1KWc
CHALLENGER,RTifAFzNwv9v0m27hyz0sABTzU5dL8eo7wFLU0bFyyDXe-8,szygszn,844,356,301,TRUE,FALSE,FALSE,FALSE,z69o1YiNUuy_rzXrtb0JLScW9grSI64RjTop44IAvr1X8Y391udjbrzy
CHALLENGER,i3oazr8MnauwKwVgfgC16G9LqB0JVfi1-zHfhUKS_RTYfTMGXPu6RVBZgw,wu guan feng yue,1056,446,391,TRUE,FALSE,FALSE,FALSE,7Af8gVvntbN6Rs08DSljGPvrydMvQesrPizxwNBqYuHs4nbes47kMJtK
CHALLENGER,7GnvlRvC9HqMRpo4lG_69QSfGIiM9fyUPrwXEys5sEnXrmg,정심dtwd,610,242,196,FALSE,FALSE,FALSE,FALSE,WBwaLwknJpODITFwk-ugzlHATbO2Jn_R9fV77MlYZXzS0eDzYE3I9-OX
