assists,champLevel,creepsPerMinDeltas,csDiffPerMinDeltas,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,goldEarned,goldPerMinDeltas,goldSpent,kills,lane,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas
9.0,14.0,"{'10-20': 1.4, '0-10': 1.3}","{'10-20': 0, '0-10': 0.9000000000000001}",5332.0,214.0,17250.0,"{'10-20': 139.20000000000005, '0-10': 38.79999999999998}","{'10-20': 1029.7, '0-10': 839.9}",8.0,10966.0,"{'10-20': 442.8, '0-10': 311}",10750.0,6.0,JUNGLE,120.0,25.0,73.0,3,129637.0,14128.0,21018.0,NONE,9.0,143540.0,16437.0,30207.0,12501.0,54.0,303.0,7418.0,1110.0,629.0,26.0,4.0,6.0,5.0,False,"{'10-20': -99.50000000000003, '0-10': 1.9999999999999858}","{'10-20': 458.5, '0-10': 376.4}"
5.0,12.0,"{'10-20': 1.2, '0-10': 0.5}","{'10-20': -1.7, '0-10': 0.10000000000000003}",4076.0,0.0,15718.0,"{'10-20': 625.6999999999999, '0-10': 38.599999999999994}","{'10-20': 1279.9, '0-10': 663.3}",11.0,8290.0,"{'10-20': 307.1, '0-10': 262.8}",8050.0,3.0,JUNGLE,109.0,12.0,83.0,10,13254.0,1185.0,25005.0,NONE,1.0,130730.0,12391.0,33352.0,14707.0,32.0,88.0,6308.0,516.0,366.0,37.0,10.0,8.0,10.0,False,"{'10-20': -278.5, '0-10': -121.99999999999997}","{'10-20': 320.5, '0-10': 276.20000000000005}"
2.0,11.0,"{'10-20': 4.6, '0-10': 5}",,170.0,170.0,1792.0,,"{'10-20': 685.2, '0-10': 110.60000000000001}",2.0,7130.0,"{'10-20': 331.8, '0-10': 294}",6760.0,4.0,JUNGLE,0.0,0.0,0.0,6,11236.0,1040.0,5611.0,NONE,8.0,41915.0,3899.0,8658.0,1503.0,101.0,38.0,2885.0,204.0,605.0,22.0,3.0,5.0,10.0,False,,"{'10-20': 408.6, '0-10': 384}"
9.0,10.0,"{'10-20': 0.4, '0-10': 0.5}",,3529.0,0.0,15268.0,,"{'10-20': 1143.4, '0-10': 542.4}",6.0,5911.0,"{'10-20': 274.6, '0-10': 232.10000000000002}",5650.0,1.0,JUNGLE,77.0,4.0,55.0,8,30063.0,3306.0,12735.0,NONE,17.0,63980.0,5743.0,19987.0,5890.0,9.0,214.0,3948.0,420.0,712.0,27.0,4.0,5.0,5.0,False,,"{'10-20': 313.4, '0-10': 255.29999999999998}"
3.0,11.0,"{'10-20': 2.4, '0-10': 1.4000000000000001}","{'10-20': 2.2, '0-10': 1.4000000000000001}",9196.0,0.0,13901.0,"{'10-20': 850.7, '0-10': 535.1}","{'10-20': 1124.1, '0-10': 674.2}",3.0,6977.0,"{'10-20': 313.5, '0-10': 333.5}",6800.0,5.0,JUNGLE,60.0,4.0,49.0,5,52795.0,6109.0,11087.0,NONE,11.0,81791.0,7860.0,17983.0,5530.0,38.0,383.0,7594.0,342.0,174.0,14.0,3.0,3.0,6.0,False,"{'10-20': -106.80000000000001, '0-10': 116.4}","{'10-20': 383.7, '0-10': 416.3}"
6.0,14.0,"{'10-20': 0.9, '0-10': 0.2}","{'10-20': -1.1, '0-10': -0.39999999999999997}",24432.0,0.0,36245.0,"{'10-20': 277.49999999999994, '0-10': -21.100000000000023}","{'10-20': 1119.9, '0-10': 768.7}",3.0,10457.0,"{'10-20': 389.4, '0-10': 323.4}",9300.0,4.0,JUNGLE,151.0,0.0,114.0,1,108019.0,7370.0,22686.0,NONE,24.0,167252.0,12168.0,37838.0,15747.0,24.0,208.0,17052.0,646.0,2171.0,30.0,10.0,3.0,11.0,False,"{'10-20': -123.1, '0-10': -67.6}","{'10-20': 507.6, '0-10': 375.2}"
10.0,14.0,"{'10-20': 0.2, '0-10': 0, '20-30': 1.3}","{'10-20': -0.3, '0-10': -0.1, '20-30': 0.09999999999999998}",7847.0,0.0,38110.0,"{'10-20': 62.5, '0-10': -482.09999999999997, '20-30': -493.90000000000003}","{'10-20': 964.4000000000001, '0-10': 470.3, '20-30': 1017.0999999999999}",8.0,9327.0,"{'10-20': 303.9, '0-10': 251.1, '20-30': 291.1}",9275.0,2.0,JUNGLE,142.0,9.0,100.0,9,100648.0,7563.0,15232.0,NONE,26.0,147395.0,10685.0,27942.0,5922.0,16.0,717.0,4864.0,1120.0,1001.0,31.0,13.0,5.0,12.0,False,"{'10-20': -172.6, '0-10': -75.89999999999998, '20-30': -72.6}","{'10-20': 357.6, '0-10': 292.20000000000005, '20-30': 525.1}"
1.0,12.0,"{'10-20': 2.6999999999999997, '0-10': 0.2}","{'10-20': 0.8999999999999999, '0-10': -0.5}",18676.0,809.0,11666.0,"{'10-20': 197.4999999999999, '0-10': 85.60000000000002}","{'10-20': 1226.8, '0-10': 955.9000000000001}",5.0,8680.0,"{'10-20': 394.20000000000005, '0-10': 337}",7825.0,3.0,JUNGLE,136.0,12.0,85.0,7,16814.0,1049.0,18683.0,NONE,2.0,135419.0,7949.0,22815.0,12306.0,34.0,132.0,12554.0,972.0,1074.0,33.0,3.0,10.0,4.0,False,"{'10-20': -114, '0-10': 38.5}","{'10-20': 399.29999999999995, '0-10': 435}"
11.0,12.0,"{'10-20': 1, '0-10': 0.4}",,23986.0,316.0,27759.0,,"{'10-20': 1294, '0-10': 566.9}",5.0,8949.0,"{'10-20': 454.6, '0-10': 290.79999999999995}",8525.0,3.0,JUNGLE,110.0,14.0,70.0,1,18117.0,667.0,16430.0,NONE,40.0,135657.0,10855.0,26104.0,13069.0,17.0,483.0,55993.0,820.0,1044.0,14.0,3.0,2.0,2.0,False,,"{'10-20': 543.1, '0-10': 262.7}"
5.0,13.0,"{'10-20': 2.2, '0-10': 0.6000000000000001}",,11374.0,1191.0,13243.0,,"{'10-20': 892.2, '0-10': 648.9}",4.0,9541.0,"{'10-20': 463.6, '0-10': 407}",9200.0,8.0,JUNGLE,121.0,0.0,103.0,1,13896.0,388.0,13588.0,NONE,10.0,136616.0,12359.0,17960.0,7225.0,29.0,341.0,5941.0,1057.0,1554.0,17.0,4.0,2.0,9.0,False,,"{'10-20': 665.4, '0-10': 399.1}"
