assists,champLevel,creepsPerMinDeltas,csDiffPerMinDeltas,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,goldEarned,goldPerMinDeltas,goldSpent,kills,lane,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas
9.0,12.0,"{'10-20': 1.4, '0-10': 1.7000000000000002}","{'10-20': 0.6499999999999999, '0-10': -1.35}",407.0,0.0,19790.0,"{'10-20': 117.25, '0-10': 43.75}","{'10-20': 635.9, '0-10': 266.7}",8.0,7495.0,"{'10-20': 271.6, '0-10': 154.8}",7125.0,3.0,BOTTOM,0.0,0.0,0.0,4,3641.0,834.0,10460.0,DUO_SUPPORT,37.0,21978.0,8535.0,17662.0,1575.0,33.0,58.0,7176.0,998.0,898.0,47.0,13.0,5.0,38.0,False,"{'10-20': -72.30000000000001, '0-10': -96.89999999999999}","{'10-20': 304.6, '0-10': 187.1}"
6.0,11.0,"{'10-20': 1.2, '0-10': 1.2999999999999998}","{'10-20': 2.1500000000000004, '0-10': -0.8000000000000003}",0.0,0.0,22219.0,"{'10-20': 89.49999999999994, '0-10': 49.34999999999998}","{'10-20': 554.4, '0-10': 347.9}",10.0,5753.0,"{'10-20': 213, '0-10': 158.39999999999998}",5650.0,0.0,BOTTOM,4.0,0.0,4.0,6,5953.0,917.0,8161.0,DUO_SUPPORT,36.0,22395.0,5131.0,19240.0,979.0,33.0,168.0,7895.0,625.0,670.0,64.0,9.0,7.0,32.0,False,"{'10-20': 92.39999999999998, '0-10': -69.2}","{'10-20': 288.79999999999995, '0-10': 204.4}"
6.0,10.0,"{'10-20': 1.9, '0-10': 1.5}","{'10-20': 0.44999999999999973, '0-10': -0.40000000000000036}",196.0,196.0,3703.0,"{'10-20': 269.5999999999999, '0-10': -101.35000000000002}","{'10-20': 607.6, '0-10': 198.1}",1.0,5624.0,"{'10-20': 219.89999999999998, '0-10': 259.9}",5350.0,2.0,BOTTOM,0.0,0.0,0.0,10,3829.0,627.0,4085.0,DUO_SUPPORT,44.0,21357.0,6014.0,8936.0,2552.0,34.0,147.0,3904.0,0.0,183.0,28.0,3.0,4.0,16.0,False,"{'10-20': -72.70000000000005, '0-10': -16.499999999999986}","{'10-20': 337.7, '0-10': 263.1}"
0.0,9.0,"{'10-20': 1.2999999999999998, '0-10': 0}","{'10-20': -3.0999999999999996, '0-10': -0.6499999999999999}",220.0,220.0,4199.0,"{'10-20': 304.35, '0-10': 55.05000000000001}","{'10-20': 561.4, '0-10': 311}",5.0,4320.0,"{'10-20': 206.39999999999998, '0-10': 174.8}",3875.0,0.0,BOTTOM,0.0,0.0,0.0,2,3593.0,764.0,3312.0,DUO_SUPPORT,16.0,13338.0,3799.0,8724.0,632.0,13.0,210.0,375.0,375.0,176.0,34.0,7.0,4.0,18.0,False,"{'10-20': -127.35, '0-10': -45.5}","{'10-20': 272.5, '0-10': 260.29999999999995}"
10.0,12.0,"{'10-20': 1.5, '0-10': 1.4}","{'10-20': 0.25, '0-10': -0.050000000000000266}",119.0,0.0,8345.0,"{'10-20': -87.15, '0-10': -64.64999999999998}","{'10-20': 366.20000000000005, '0-10': 146.8}",5.0,6228.0,"{'10-20': 227.29999999999998, '0-10': 172.3}",5825.0,0.0,BOTTOM,0.0,0.0,0.0,5,4431.0,745.0,4504.0,DUO_SUPPORT,39.0,25874.0,4610.0,12434.0,4275.0,34.0,201.0,3688.0,0.0,451.0,77.0,17.0,11.0,48.0,False,"{'10-20': -21.75, '0-10': -16.95000000000003}","{'10-20': 237.9, '0-10': 272.29999999999995}"
14.0,14.0,"{'10-20': 2.3, '0-10': 0.3, '20-30': 2.5}","{'10-20': -0.3999999999999999, '0-10': 0.55, '20-30': -0.25}",4347.0,2191.0,11385.0,"{'10-20': -134.1500000000001, '0-10': -222.90000000000003, '20-30': -143.35000000000002}","{'10-20': 358.59999999999997, '0-10': 123.7, '20-30': 630.3}",5.0,10021.0,"{'10-20': 385, '0-10': 273.9, '20-30': 261.3}",9875.0,3.0,BOTTOM,0.0,0.0,0.0,7,4892.0,1345.0,6418.0,DUO_SUPPORT,29.0,54947.0,11566.0,14394.0,6511.0,53.0,206.0,1745.0,50.0,466.0,90.0,11.0,12.0,42.0,False,"{'10-20': 36.349999999999994, '0-10': 55.94999999999999, '20-30': -83.85000000000005}","{'10-20': 392.6, '0-10': 309.2, '20-30': 474.1}"
7.0,10.0,"{'10-20': 1.2, '0-10': 1.9000000000000001}","{'10-20': -0.19999999999999996, '0-10': 2.1500000000000004}",268.0,0.0,7883.0,"{'10-20': 190.90000000000003, '0-10': -59.849999999999994}","{'10-20': 669.2, '0-10': 327.7}",5.0,5674.0,"{'10-20': 256.9, '0-10': 240.79999999999998}",5375.0,1.0,BOTTOM,0.0,0.0,0.0,6,4209.0,1163.0,5136.0,DUO_SUPPORT,22.0,16404.0,4350.0,9969.0,1316.0,31.0,118.0,2968.0,0.0,843.0,36.0,11.0,5.0,27.0,False,"{'10-20': -164.74999999999997, '0-10': 58.75}","{'10-20': 325.70000000000005, '0-10': 313.5}"
8.0,11.0,"{'10-20': 0.8999999999999999, '0-10': 1}",,4040.0,1750.0,7984.0,,"{'10-20': 642, '0-10': 439.8}",9.0,7782.0,"{'10-20': 378.6, '0-10': 244.2}",12010.0,3.0,BOTTOM,18.0,2.0,12.0,3,60090.0,14736.0,11796.0,DUO_SUPPORT,36.0,64893.0,16501.0,17551.0,7288.0,25.0,193.0,4802.0,1764.0,831.0,48.0,4.0,4.0,30.0,False,,"{'10-20': 350.3, '0-10': 287.9}"
10.0,9.0,"{'10-20': 1.5, '0-10': 1.1}",,0.0,0.0,22278.0,,"{'10-20': 1001.5, '0-10': 396.4}",11.0,5416.0,"{'10-20': 251.3, '0-10': 214}",4900.0,0.0,BOTTOM,0.0,0.0,0.0,2,5269.0,2299.0,10564.0,DUO_SUPPORT,38.0,14608.0,4778.0,17246.0,348.0,26.0,61.0,5308.0,500.0,2148.0,37.0,6.0,4.0,20.0,False,,"{'10-20': 238.1, '0-10': 286.9}"
14.0,12.0,"{'10-20': 0.9, '0-10': 0.3}","{'10-20': 1.0000000000000002, '0-10': 0.1499999999999999}",391.0,230.0,11000.0,"{'10-20': -21.199999999999932, '0-10': -155.4}","{'10-20': 814.8, '0-10': 460}",12.0,7020.0,"{'10-20': 224.2, '0-10': 226.9}",6700.0,1.0,BOTTOM,0.0,0.0,0.0,8,2035.0,715.0,10972.0,DUO_SUPPORT,35.0,22819.0,11371.0,22532.0,3388.0,20.0,181.0,1130.0,1130.0,1262.0,76.0,10.0,12.0,46.0,False,"{'10-20': 34.89999999999995, '0-10': -18.85000000000001}","{'10-20': 258.8, '0-10': 239.4}"
