assists,champLevel,creepsPerMinDeltas,csDiffPerMinDeltas,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,goldEarned,goldPerMinDeltas,goldSpent,kills,lane,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas
22.0,16.0,"{'10-20': 1.4, '0-10': 0.4}","{'10-20': 0, '0-10': -0.9000000000000001}",34894.0,2391.0,12560.0,"{'10-20': -139.20000000000005, '0-10': -38.79999999999998}","{'10-20': 890.5, '0-10': 801.0999999999999}",4.0,12702.0,"{'10-20': 453.79999999999995, '0-10': 324.8}",11950.0,8.0,JUNGLE,149.0,30.0,80.0,6,16026.0,1212.0,17210.0,NONE,27.0,169384.0,19325.0,24821.0,14136.0,24.0,263.0,10582.0,963.0,455.0,39.0,8.0,9.0,10.0,True,"{'10-20': 99.50000000000003, '0-10': -1.9999999999999858}","{'10-20': 558, '0-10': 374.4}"
12.0,16.0,"{'10-20': 2.9, '0-10': 0.4}","{'10-20': 1.7, '0-10': -0.10000000000000003}",36627.0,3326.0,17906.0,"{'10-20': -625.6999999999999, '0-10': -38.599999999999994}","{'10-20': 654.2, '0-10': 624.7}",1.0,13783.0,"{'10-20': 443.9, '0-10': 399.6}",12575.0,12.0,JUNGLE,148.0,17.0,76.0,5,17668.0,729.0,16075.0,NONE,16.0,202827.0,35494.0,20043.0,8739.0,52.0,324.0,13687.0,1716.0,116.0,28.0,5.0,4.0,8.0,True,"{'10-20': 278.5, '0-10': 121.99999999999997}","{'10-20': 599, '0-10': 398.2}"
4.0,12.0,"{'10-20': 2.5, '0-10': 0.2}",,17421.0,3402.0,13084.0,,"{'10-20': 1161.8, '0-10': 630.1}",5.0,9816.0,"{'10-20': 614.3, '0-10': 249.8}",9250.0,7.0,JUNGLE,105.0,27.0,57.0,5,17492.0,1979.0,15180.0,NONE,19.0,116047.0,14999.0,19916.0,8435.0,31.0,392.0,9456.0,976.0,342.0,27.0,5.0,5.0,5.0,True,,"{'10-20': 560.7, '0-10': 355.9}"
7.0,11.0,"{'10-20': 0.2, '0-10': 0}","{'10-20': -2.2, '0-10': -1.4000000000000001}",6120.0,906.0,2508.0,"{'10-20': -850.7, '0-10': -535.1}","{'10-20': 273.4, '0-10': 139.1}",1.0,6416.0,"{'10-20': 338.4, '0-10': 252.5}",6000.0,0.0,JUNGLE,105.0,8.0,73.0,8,3430.0,912.0,2344.0,NONE,13.0,294946.0,2941.0,4125.0,2779.0,2.0,115.0,286240.0,160.0,108.0,15.0,0.0,1.0,4.0,True,"{'10-20': 106.80000000000001, '0-10': -116.4}","{'10-20': 490.5, '0-10': 299.9}"
8.0,16.0,"{'10-20': 2, '0-10': 0.6}","{'10-20': 1.1, '0-10': 0.39999999999999997}",46750.0,2943.0,35809.0,"{'10-20': -277.49999999999994, '0-10': 21.100000000000023}","{'10-20': 842.4000000000001, '0-10': 789.8}",2.0,14696.0,"{'10-20': 537.5, '0-10': 323.5}",12075.0,9.0,JUNGLE,205.0,18.0,136.0,9,37529.0,2291.0,18298.0,NONE,11.0,265496.0,25106.0,28700.0,15945.0,50.0,301.0,9868.0,1210.0,1127.0,47.0,5.0,13.0,6.0,True,"{'10-20': 123.1, '0-10': 67.6}","{'10-20': 630.7, '0-10': 442.79999999999995}"
16.0,16.0,"{'10-20': 0.5, '0-10': 0.1, '20-30': 1.2000000000000002}","{'10-20': 0.3, '0-10': 0.1, '20-30': -0.09999999999999998}",45977.0,748.0,38545.0,"{'10-20': -62.5, '0-10': 482.09999999999997, '20-30': 493.90000000000003}","{'10-20': 901.9000000000001, '0-10': 952.4, '20-30': 1511}",2.0,12408.0,"{'10-20': 409.5, '0-10': 327.4, '20-30': 385.3}",11475.0,4.0,JUNGLE,175.0,16.0,97.0,2,116889.0,5794.0,27464.0,NONE,22.0,187622.0,9822.0,37812.0,20680.0,22.0,224.0,18176.0,1110.0,461.0,41.0,7.0,10.0,7.0,True,"{'10-20': 172.6, '0-10': 75.89999999999998, '20-30': 72.6}","{'10-20': 530.2, '0-10': 368.1, '20-30': 597.7}"
6.0,13.0,"{'10-20': 1.8, '0-10': 0.7}","{'10-20': -0.8999999999999999, '0-10': 0.5}",25351.0,0.0,13881.0,"{'10-20': -197.4999999999999, '0-10': -85.60000000000002}","{'10-20': 1029.3000000000002, '0-10': 870.3}",2.0,8936.0,"{'10-20': 467.2, '0-10': 303.7}",7375.0,7.0,JUNGLE,103.0,5.0,69.0,1,109567.0,10380.0,17552.0,NONE,112.0,129579.0,11963.0,20253.0,11435.0,25.0,438.0,11022.0,720.0,653.0,21.0,3.0,4.0,9.0,True,"{'10-20': 114, '0-10': -38.5}","{'10-20': 513.3, '0-10': 396.5}"
11.0,12.0,"{'10-20': 1.4, '0-10': 1.4}",,812.0,812.0,14379.0,,"{'10-20': 788.1, '0-10': 280.8}",5.0,6634.0,"{'10-20': 205.3, '0-10': 169.8}",4800.0,2.0,JUNGLE,4.0,0.0,0.0,8,4186.0,811.0,9392.0,NONE,15.0,20910.0,6341.0,14542.0,2480.0,34.0,112.0,5791.0,572.0,1359.0,47.0,10.0,5.0,27.0,True,,"{'10-20': 240.70000000000002, '0-10': 283.9}"
19.0,15.0,"{'10-20': 1.6, '0-10': 0.8}",,17880.0,1488.0,26177.0,,"{'10-20': 1249.2, '0-10': 783.7}",4.0,10769.0,"{'10-20': 414.5, '0-10': 349.6}",9050.0,5.0,JUNGLE,122.0,15.0,79.0,10,47490.0,5400.0,18591.0,NONE,32.0,137303.0,13155.0,29372.0,15187.0,37.0,205.0,8251.0,1281.0,1967.0,36.0,8.0,6.0,11.0,True,,"{'10-20': 528.6, '0-10': 425.2}"
10.0,14.0,"{'10-20': 2.1, '0-10': 1}",,28959.0,1314.0,16609.0,,"{'10-20': 1196.4, '0-10': 959.9}",3.0,11939.0,"{'10-20': 531.5, '0-10': 518}",11525.0,9.0,JUNGLE,112.0,0.0,79.0,6,105156.0,11933.0,15231.0,NONE,11.0,135621.0,15558.0,24576.0,14151.0,35.0,398.0,24773.0,3625.0,1461.0,36.0,3.0,9.0,4.0,True,,"{'10-20': 555.2, '0-10': 474.5}"
8.0,14.0,"{'10-20': 8.6, '0-10': 6.699999999999999}",,10703.0,2366.0,4405.0,,"{'10-20': 437.6, '0-10': 412.20000000000005}",2.0,13569.0,"{'10-20': 851.3, '0-10': 258.3}",11800.0,14.0,JUNGLE,32.0,8.0,20.0,9,112673.0,16351.0,6866.0,NONE,18.0,126245.0,18860.0,10046.0,4046.0,160.0,144.0,12706.0,2093.0,297.0,7.0,0.0,2.0,5.0,True,,"{'10-20': 714.9, '0-10': 289.2}"
9.0,16.0,"{'10-20': 0.6, '0-10': 1.4}","{'10-20': -0.8, '0-10': -0.30000000000000004}",30423.0,9302.0,30259.0,"{'10-20': -582.8000000000001, '0-10': -323.29999999999995}","{'10-20': 927.4, '0-10': 731.7}",5.0,15736.0,"{'10-20': 335, '0-10': 415.8}",13425.0,15.0,JUNGLE,147.0,24.0,99.0,2,25233.0,2523.0,15080.0,NONE,14.0,229120.0,28383.0,25240.0,10404.0,56.0,177.0,10394.0,918.0,799.0,43.0,11.0,10.0,11.0,True,"{'10-20': -151.79999999999998, '0-10': -15.900000000000006}","{'10-20': 441.1, '0-10': 390.5}"
15.0,18.0,"{'10-20': 0.4, '0-10': 1, '20-30': 1}","{'10-20': -0.7000000000000001, '0-10': 2.7755575615628914e-17, '20-30': -0.29999999999999993}",47130.0,2251.0,34619.0,"{'10-20': 179.80000000000013, '0-10': 289.79999999999995, '20-30': 542.6}","{'10-20': 1079.4, '0-10': 717.7, '20-30': 1542.2}",6.0,16454.0,"{'10-20': 481.9, '0-10': 413.4, '20-30': 430.6}",14150.0,13.0,JUNGLE,177.0,27.0,95.0,4,179207.0,26214.0,28404.0,NONE,23.0,225477.0,32140.0,43623.0,20273.0,28.0,148.0,30861.0,3363.0,4310.0,42.0,16.0,8.0,13.0,True,"{'10-20': 202.80000000000004, '0-10': 111, '20-30': 183.89999999999998}","{'10-20': 580.8, '0-10': 437, '20-30': 591.8}"
10.0,14.0,"{'10-20': 0.5, '0-10': 0.1}","{'10-20': -1.4, '0-10': -1.5}",23394.0,2188.0,13516.0,"{'10-20': -82.20000000000005, '0-10': 35.10000000000002}","{'10-20': 885.2, '0-10': 663}",5.0,10180.0,"{'10-20': 447.5, '0-10': 230.8}",9375.0,5.0,JUNGLE,106.0,10.0,67.0,4,21746.0,1328.0,16752.0,NONE,26.0,122811.0,17789.0,25901.0,11081.0,14.0,100.0,11408.0,468.0,585.0,29.0,11.0,5.0,11.0,True,"{'10-20': -34, '0-10': -121.3}","{'10-20': 480.3, '0-10': 292.9}"
8.0,11.0,"{'10-20': 1.2, '0-10': 0.4}","{'10-20': 0.6, '0-10': 0.1}",7672.0,408.0,13517.0,"{'10-20': 487.69999999999993, '0-10': 157.99999999999994}","{'10-20': 1162.9, '0-10': 968.4}",4.0,8137.0,"{'10-20': 433.4, '0-10': 237.8}",7250.0,4.0,JUNGLE,92.0,18.0,51.0,7,55411.0,6494.0,14909.0,NONE,14.0,79838.0,7987.0,23117.0,12223.0,17.0,572.0,6368.0,370.0,858.0,29.0,4.0,8.0,4.0,True,"{'10-20': 275.20000000000005, '0-10': -38.900000000000006}","{'10-20': 399.8, '0-10': 301.5}"
