assists,champLevel,creepsPerMinDeltas,csDiffPerMinDeltas,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,goldEarned,goldPerMinDeltas,goldSpent,kills,lane,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas
25.0,14.0,"{'10-20': 0.7, '0-10': 1.5}","{'10-20': -0.6499999999999999, '0-10': 1.35}",1209.0,363.0,21310.0,"{'10-20': -117.25, '0-10': -43.75}","{'10-20': 746.3, '0-10': 207.60000000000002}",2.0,9425.0,"{'10-20': 429.7, '0-10': 194.39999999999998}",8425.0,4.0,BOTTOM,0.0,0.0,0.0,9,4897.0,1166.0,10352.0,DUO_SUPPORT,55.0,29191.0,12711.0,17951.0,13716.0,27.0,98.0,6954.0,898.0,475.0,67.0,13.0,5.0,43.0,True,"{'10-20': 72.30000000000001, '0-10': 96.89999999999999}","{'10-20': 411.7, '0-10': 279.1}"
20.0,13.0,"{'10-20': 1.5, '0-10': 1.7}","{'10-20': -2.1500000000000004, '0-10': 0.8000000000000003}",1656.0,203.0,30679.0,"{'10-20': -89.49999999999994, '0-10': -49.34999999999998}","{'10-20': 618.3, '0-10': 364}",7.0,8560.0,"{'10-20': 297.4, '0-10': 242.6}",8505.0,2.0,BOTTOM,0.0,0.0,0.0,1,4880.0,1181.0,13580.0,DUO_SUPPORT,42.0,26926.0,8386.0,21196.0,9270.0,34.0,94.0,6439.0,634.0,1684.0,72.0,14.0,6.0,47.0,True,"{'10-20': -92.39999999999998, '0-10': 69.2}","{'10-20': 305, '0-10': 277.3}"
12.0,10.0,"{'10-20': 0.5, '0-10': 0.6000000000000001}","{'10-20': -0.44999999999999973, '0-10': 0.40000000000000036}",1386.0,1386.0,6172.0,"{'10-20': -269.5999999999999, '0-10': 101.35000000000002}","{'10-20': 655, '0-10': 457.6}",4.0,6286.0,"{'10-20': 312.7, '0-10': 201.8}",5700.0,1.0,BOTTOM,0.0,0.0,0.0,3,2477.0,509.0,7546.0,DUO_SUPPORT,14.0,21572.0,6659.0,11672.0,1603.0,13.0,131.0,332.0,332.0,130.0,43.0,6.0,4.0,22.0,True,"{'10-20': 72.70000000000005, '0-10': 16.499999999999986}","{'10-20': 362.1, '0-10': 254.39999999999998}"
5.0,10.0,"{'10-20': 0.5, '0-10': 1.3}","{'10-20': 3.0999999999999996, '0-10': 0.6499999999999999}",1923.0,1923.0,3703.0,"{'10-20': -304.35, '0-10': -55.05000000000001}","{'10-20': 325.4, '0-10': 264.6}",0.0,6154.0,"{'10-20': 300.9, '0-10': 263.7}",5710.0,2.0,BOTTOM,0.0,0.0,0.0,9,5203.0,1900.0,4227.0,DUO_SUPPORT,17.0,24407.0,7101.0,5900.0,2743.0,18.0,128.0,0.0,0.0,285.0,36.0,6.0,1.0,20.0,True,"{'10-20': 127.35, '0-10': 45.5}","{'10-20': 328.4, '0-10': 299.9}"
16.0,13.0,"{'10-20': 1.1, '0-10': 1.4}","{'10-20': -0.25, '0-10': 0.050000000000000266}",2552.0,1466.0,5504.0,"{'10-20': 87.15, '0-10': 64.64999999999998}","{'10-20': 470.6, '0-10': 246}",1.0,8234.0,"{'10-20': 249, '0-10': 212.6}",5825.0,0.0,BOTTOM,0.0,0.0,0.0,7,4924.0,629.0,5014.0,DUO_SUPPORT,29.0,23104.0,7433.0,11992.0,7409.0,39.0,220.0,601.0,601.0,508.0,104.0,14.0,21.0,46.0,True,"{'10-20': 21.75, '0-10': 16.95000000000003}","{'10-20': 312.9, '0-10': 300.70000000000005}"
14.0,13.0,"{'10-20': 1.8, '0-10': 1.2999999999999998, '20-30': 1.1}","{'10-20': 0.3999999999999999, '0-10': -0.55, '20-30': 0.25}",1432.0,64.0,28170.0,"{'10-20': 134.1500000000001, '0-10': 222.90000000000003, '20-30': 143.35000000000002}","{'10-20': 550.8, '0-10': 388.70000000000005, '20-30': 568.7}",5.0,7903.0,"{'10-20': 271.20000000000005, '0-10': 148.7, '20-30': 265.6}",7050.0,1.0,BOTTOM,0.0,0.0,0.0,3,8660.0,754.0,10092.0,DUO_SUPPORT,38.0,25404.0,4008.0,16432.0,723.0,42.0,223.0,6613.0,268.0,324.0,88.0,14.0,9.0,53.0,True,"{'10-20': -36.349999999999994, '0-10': -55.94999999999999, '20-30': 83.85000000000005}","{'10-20': 309.5, '0-10': 263.6, '20-30': 419.9}"
8.0,10.0,"{'10-20': 1.2, '0-10': 0.3}","{'10-20': 0.19999999999999996, '0-10': -2.1500000000000004}",1764.0,1153.0,6169.0,"{'10-20': -190.90000000000003, '0-10': 59.849999999999994}","{'10-20': 700.5, '0-10': 495.1}",4.0,8982.0,"{'10-20': 600.2, '0-10': 221.29999999999998}",8550.0,6.0,BOTTOM,0.0,0.0,0.0,4,10072.0,4623.0,8091.0,DUO_SUPPORT,12.0,12331.0,6839.0,12445.0,2116.0,18.0,63.0,2259.0,2216.0,489.0,81.0,10.0,12.0,48.0,True,"{'10-20': 164.74999999999997, '0-10': -58.75}","{'10-20': 407.4, '0-10': 250.5}"
19.0,13.0,"{'10-20': 2.3, '0-10': 1.5}",,1193.0,0.0,18860.0,,"{'10-20': 511.2, '0-10': 535.3}",3.0,7186.0,"{'10-20': 380.6, '0-10': 208.39999999999998}",6650.0,2.0,BOTTOM,0.0,0.0,0.0,7,1325.0,147.0,8959.0,SOLO,36.0,28151.0,7462.0,11526.0,347.0,39.0,75.0,5255.0,0.0,411.0,43.0,8.0,8.0,20.0,True,,"{'10-20': 551.9, '0-10': 277.20000000000005}"
23.0,14.0,"{'10-20': 1.5, '0-10': 0.8999999999999999}","{'10-20': -1.0000000000000002, '0-10': -0.1499999999999999}",5898.0,1709.0,7936.0,"{'10-20': 21.199999999999932, '0-10': 155.4}","{'10-20': 891.3, '0-10': 431.6}",8.0,10749.0,"{'10-20': 286.8, '0-10': 293.4}",8825.0,2.0,BOTTOM,17.0,4.0,9.0,4,63263.0,16863.0,8527.0,DUO_SUPPORT,37.0,70524.0,18811.0,18907.0,14194.0,40.0,186.0,5146.0,1657.0,1940.0,78.0,3.0,13.0,30.0,True,"{'10-20': -34.89999999999995, '0-10': 18.85000000000001}","{'10-20': 322.9, '0-10': 306.4}"
30.0,16.0,"{'10-20': 0.8, '0-10': 0.7, '20-30': 1}","{'10-20': -2.0500000000000003, '0-10': -1.9, '20-30': -1.3500000000000003}",2693.0,1123.0,13234.0,"{'10-20': -330.70000000000005, '0-10': -131.90000000000003, '20-30': -440.80000000000007}","{'10-20': 544.7, '0-10': 197.4, '20-30': 808.0999999999999}",5.0,10191.0,"{'10-20': 250, '0-10': 237.5, '20-30': 314.2}",8625.0,1.0,BOTTOM,0.0,0.0,0.0,3,5035.0,1730.0,14460.0,DUO_SUPPORT,34.0,29414.0,9293.0,18496.0,10984.0,26.0,200.0,0.0,0.0,1205.0,104.0,17.0,12.0,53.0,True,"{'10-20': -85.05000000000004, '0-10': -25.10000000000001, '20-30': -6}","{'10-20': 307.79999999999995, '0-10': 316.70000000000005, '20-30': 518.4}"
