assists,champLevel,creepsPerMinDeltas,csDiffPerMinDeltas,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,deaths,goldEarned,goldPerMinDeltas,goldSpent,kills,lane,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,participantId,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,role,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalTimeCrowdControlDealt,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,xpDiffPerMinDeltas,xpPerMinDeltas
10.0,15.0,"{'10-20': 6.1, '0-10': 5.8}",,20569.0,2765.0,12647.0,,"{'10-20': 798.6, '0-10': 457.7}",10.0,11338.0,"{'10-20': 434.09999999999997, '0-10': 218.9}",10835.0,5.0,TOP,17.0,0.0,8.0,7,99633.0,13923.0,12017.0,DUO,7.0,127613.0,17850.0,21210.0,3515.0,147.0,113.0,10412.0,140.0,586.0,22.0,3.0,1.0,12.0,True,,"{'10-20': 522.3, '0-10': 345.5}"
18.0,16.0,"{'10-20': 7.699999999999999, '0-10': 6.699999999999999}",,14104.0,9951.0,42822.0,,"{'10-20': 1804.4, '0-10': 718.5999999999999}",3.0,15771.0,"{'10-20': 643.3, '0-10': 427.9}",14575.0,13.0,TOP,25.0,20.0,0.0,8,163739.0,29660.0,25500.0,DUO,29.0,173266.0,35422.0,41314.0,18188.0,161.0,90.0,3403.0,1173.0,864.0,32.0,3.0,5.0,7.0,True,,"{'10-20': 577.7, '0-10': 480.90000000000003}"
10.0,17.0,"{'10-20': 7.8999999999999995, '0-10': 7.8999999999999995}","{'10-20': 0.9999999999999991, '0-10': 0.7999999999999994}",27032.0,6353.0,33407.0,"{'10-20': 371.59999999999997, '0-10': -96.10000000000002}","{'10-20': 1055.1, '0-10': 618.0999999999999}",3.0,17514.0,"{'10-20': 569.5999999999999, '0-10': 512.7}",14550.0,17.0,TOP,39.0,24.0,5.0,4,143810.0,27484.0,23204.0,SOLO,31.0,237300.0,38082.0,37167.0,11957.0,219.0,403.0,8544.0,542.0,4584.0,28.0,4.0,5.0,13.0,True,"{'10-20': 73.40000000000003, '0-10': 78.1}","{'10-20': 540.4000000000001, '0-10': 503.29999999999995}"
4.0,13.0,"{'10-20': 6.699999999999999, '0-10': 5.9}",,5984.0,4407.0,12242.0,,"{'10-20': 789.9, '0-10': 550.4000000000001}",3.0,9205.0,"{'10-20': 456.7, '0-10': 345.5}",8500.0,5.0,TOP,20.0,4.0,7.0,1,27798.0,3267.0,10581.0,SOLO,6.0,96272.0,12542.0,14515.0,4431.0,133.0,105.0,23301.0,2936.0,299.0,18.0,2.0,4.0,7.0,True,,"{'10-20': 600.7, '0-10': 410.4}"
1.0,15.0,"{'10-20': 7.199999999999999, '0-10': 8.6}","{'10-20': 0, '0-10': 1.6999999999999997}",9763.0,2052.0,9979.0,"{'10-20': -73.30000000000007, '0-10': 4.69999999999996}","{'10-20': 1004.3, '0-10': 448.2}",5.0,11085.0,"{'10-20': 712.7, '0-10': 345.1}",9450.0,9.0,TOP,28.0,8.0,7.0,6,113886.0,15874.0,10908.0,SOLO,7.0,129629.0,18800.0,14525.0,3410.0,158.0,100.0,2481.0,96.0,309.0,19.0,1.0,3.0,7.0,True,"{'10-20': 360.9, '0-10': 29.100000000000023}","{'10-20': 813, '0-10': 509}"
9.0,15.0,"{'10-20': 7.199999999999999, '0-10': 5.6}","{'10-20': -1.2999999999999998, '0-10': -2.6}",1910.0,342.0,13886.0,"{'10-20': -149.8, '0-10': 73.69999999999999}","{'10-20': 587.3, '0-10': 580}",4.0,8302.0,"{'10-20': 298.5, '0-10': 228.1}",6375.0,0.0,TOP,0.0,0.0,0.0,8,12621.0,1653.0,11082.0,SOLO,40.0,88325.0,12887.0,25195.0,12093.0,149.0,348.0,0.0,0.0,3775.0,11.0,1.0,1.0,6.0,True,"{'10-20': -121.79999999999998, '0-10': -56.89999999999998}","{'10-20': 447.1, '0-10': 418.5}"
14.0,18.0,"{'10-20': 9, '0-10': 6.8, '20-30': 8.5}","{'10-20': -0.7000000000000006, '0-10': 1.7999999999999998, '20-30': 1.0999999999999992}",15880.0,13043.0,15342.0,"{'10-20': 72, '0-10': -71.40000000000003, '20-30': 274.5}","{'10-20': 996.3, '0-10': 436.1, '20-30': 828.7}",7.0,18375.0,"{'10-20': 518, '0-10': 330.9, '20-30': 723.3}",16150.0,11.0,TOP,26.0,8.0,18.0,1,245975.0,22685.0,14832.0,SOLO,0.0,266869.0,26794.0,24215.0,3598.0,280.0,16.0,5390.0,0.0,441.0,43.0,4.0,6.0,14.0,True,"{'10-20': -21.400000000000006, '0-10': 38.19999999999996, '20-30': 215.5}","{'10-20': 583.4, '0-10': 458.09999999999997, '20-30': 776.3}"
6.0,14.0,"{'10-20': 8.1, '0-10': 7.2}","{'10-20': 1.2999999999999998, '0-10': 1}",6212.0,4807.0,18377.0,"{'10-20': 310.4, '0-10': -117.1}","{'10-20': 1455.3, '0-10': 607.9}",4.0,10952.0,"{'10-20': 614.3, '0-10': 399}",10980.0,7.0,TOP,9.0,5.0,1.0,2,103498.0,15635.0,20458.0,SOLO,5.0,109947.0,20193.0,23051.0,7865.0,162.0,103.0,4737.0,4135.0,626.0,13.0,0.0,3.0,4.0,True,"{'10-20': 122.00000000000003, '0-10': 152.3}","{'10-20': 598.9000000000001, '0-10': 534.3}"
14.0,15.0,"{'10-20': 7.1, '0-10': 7.5}","{'10-20': -0.40000000000000036, '0-10': -0.8999999999999999}",8934.0,4805.0,9263.0,"{'10-20': -410.30000000000007, '0-10': -90.19999999999999}","{'10-20': 785, '0-10': 301.5}",4.0,11835.0,"{'10-20': 491.1, '0-10': 249.5}",11050.0,8.0,TOP,4.0,0.0,1.0,6,23755.0,4306.0,7984.0,SOLO,19.0,104279.0,25802.0,19128.0,6665.0,170.0,74.0,600.0,320.0,488.0,13.0,2.0,1.0,7.0,True,"{'10-20': -47.80000000000001, '0-10': -22.299999999999955}","{'10-20': 564, '0-10': 440.3}"
9.0,13.0,"{'10-20': 8.1, '0-10': 8}",,4980.0,3003.0,7626.0,,"{'10-20': 912.5999999999999, '0-10': 408.9}",8.0,9444.0,"{'10-20': 477.9, '0-10': 262}",8360.0,4.0,TOP,4.0,4.0,0.0,8,10354.0,714.0,10297.0,DUO_CARRY,21.0,92092.0,12813.0,14867.0,1209.0,170.0,266.0,2495.0,0.0,652.0,22.0,1.0,2.0,7.0,True,,"{'10-20': 498.6, '0-10': 425.8}"
